word,frequency_in_target
pauwela,1
peel,1
peelsen,1
pennijnck,1
perfectelick,1
personne,1
pijndent,1
pijnsden,1
pijnsenden,1
plaegen,1
plagent,1
planck,1
plankens,1
plegden,1
plom,1
polsens,1
potta,1
prast,1
prefessie,1
prefit,1
prefittelic,1
preiken,1
prinsche,1
prinsse,1
priselick,1
proeffijt,1
proeffittelic,1
proefittelic,1
profentierden,1
professije,1
proffessie,1
proffiet,1
proffitelick,1
proffittelic,1
profit,1
profittelic,1
prolog,1
prophet,1
prottelich,1
pruewen,1
pruwen,1
prynce,1
puntelicheit,1
quackelinghe,1
quakelinge,1
quarn,1
quellicker,1
quellixs,1
raedende,1
rbans,1
recarassen,1
rechant,1
rechtervoert,1
rechtuerdelicke,1
reckendes,1
reckenscap,1
regelier,1
regiement,1
regiereden,1
regiester,1
regnierden,1
reicten,1
reigements,1
reigiement,1
reigiements,1
reigiert,1
reigiment,1
reijgiements,1
reijne,1
reijnichden,1
reijse,1
reijsen,1
rekenighe,1
rekenijnge,1
rekreascie,1
relicquien,1
relicquijen,1
religosen,1
reventer,1
reynner,1
rickelick,1
rickheit,1
riechten,1
riecke,1
riecsten,1
rief,1
riefue,1
riepelick,1
rieppelic,1
rieslant,1
rijchdommen,1
rijckelicken,1
rijep,1
rijepheit,1
rijeppelick,1
rijnck,1
rijppelick,1
rijpper,1
ripelick,1
rmer,1
robsaet,1
rockende,1
rocsken,1
roelken,1
rouwelicheit,1
rouwelicker,1
ruckent,1
rucket,1
ruddicheit,1
ruerden,1
rumden,1
runtvleische,1
rustichge,1
ryep,1
sachtmoedichghen,1
sacramentelicke,1
saeldi,1
salet,1
salichlicke,1
samheit,1
samicheit,1
sammelinge,1
sandet,1
scallixs,1
scandelsierden,1
scelencien,1
scerpelick,1
schadelick,1
schadelicken,1
schaersteen,1
schallicken,1
schalt,1
scham,1
schandelsierden,1
schandelsieren,1
schap,1
scheij,1
schem,1
schemmel,1
schempten,1
scher,1
scheraphijn,1
schercamer,1
scherpeheit,1
scherpelicke,1
scherpste,1
schiempelick,1
schijnbaerlicke,1
schoelder,1
schoenten,1
schol,1
scholders,1
schorttel,1
schotbelde,1
schouwelick,1
schreien,1
schreiende,1
schreijden,1
schreijens,1
schrief,1
schriefster,1
schrieppeloesheit,1
schrieuens,1
schrijen,1
schrippeloes,1
schrippelos,1
schrippelosheit,1
schryppelos,1
schup,1
scortel,1
scrippel,1
scrippeloesheit,1
scrippelos,1
sechsken,1
secken,1
secker,1
seckerheit,1
seckerlic,1
seckerlicke,1
seckerlicken,1
sedberheit,1
sedberlick,1
sedde,1
seddeberlick,1
seddelick,1
seddichden,1
seecker,1
seedden,1
seeraphijn,1
seetten,1
seggenden,1
seguwijt,1
seigeden,1
selencie,1
seluens,1
semelick,1
sep,1
serafyn,1
seraphyn,1
serre,1
sicheiden,1
sicke,1
sickeit,1
sickelicke,1
sickenhuijs,1
sickewarster,1
sickten,1
sieckeit,1
sieckheit,1
sieclien,1
siekenhuijs,1
siempel,1
sienicheit,1
sienlicker,1
sijch,1
sijcken,1
sijddi,1
sijmpelic,1
sijmpellen,1
sijmpellick,1
sijmpelsten,1
sijnlicheit,1
sijtkussen,1
slaech,1
slaepet,1
slapti,1
slechtelick,1
slectelick,1
slickericheit,1
sloederich,1
sloesen,1
sloetsen,1
slutten,1
smacket,1
smakelick,1
smeiker,1
smelich,1
snijeden,1
snoesten,1
snoste,1
snutste,1
snyeden,1
sock,1
sockende,1
soekelic,1
soeren,1
soericheit,1
soerichuoldelic,1
soerichuoldich,1
soerlicken,1
soers,1
soldens,1
sollacelickheit,1
sollacie,1
sollaes,1
sollas,1
soloes,1
somijghe,1
sommijchgen,1
sommijghen,1
sommijgher,1
somwillen,1
somygen,1
sorgden,1
sorgdi,1
sorghden,1
sorichlick,1
sorre,1
spaerlixste,1
speech,1
spege,1
spijgellen,1
spijnnen,1
spittich,1
spoellende,1
spoeten,1
spoetten,1
spollen,1
sponnen,1
sporkel,1
spraek,1
spreckkynder,1
sprecsusteren,1
sprekelick,1
sprekijnge,1
spyennen,1
spyn,1
spynnrocken,1
stadelicke,1
staedelick,1
staettutten,1
stantachtelicke,1
stantachtigen,1
stantachtighen,1
stattuten,1
statutten,1
stedeholder,1
stedeken,1
steedelicke,1
steedigher,1
steelle,1
steenschen,1
steenuerden,1
steenvoerden,1
stefken,1
stemmijch,1
stemmijchge,1
stemmych,1
stende,1
sterckmakende,1
sterckste,1
stercmakinge,1
steren,1
sterfdi,1
sterffet,1
stet,1
stichticge,1
stichticheiden,1
stichtichgen,1
stichtinghe,1
stichtstelick,1
stieuer,1
stofken,1
storfue,1
strackelick,1
strackelicken,1
straeffen,1
straffinge,1
strenhck,1
strobbich,1
stroeten,1
stuerden,1
stuuer,1
stychtelick,1
stylswijgende,1
suckende,1
sucket,1
suerlic,1
suerlicke,1
suerlicken,1
suetticheit,1
sulk,1
sunderlick,1
sunderlijnck,1
susterlick,1
suuerlixste,1
sych,1
syedende,1
tafellen,1
taff,1
taffelaken,1
taffelakens,1
tagen,1
tamptascie,1
tantswer,1
tegenwoerdiger,1
tegenwoerdighe,1
teikennen,1
telick,1
tellicker,1
tember,1
tembracht,1
temmerden,1
temptascie,1
temtacie,1
temtacien,1
temtascien,1
tengenwoerdicheit,1
terijnghe,1
teringe,1
teste,1
tevoert,1
thagen,1
tiemmeren,1
tijdijnge,1
tijken,1
tijtelicker,1
tijttelixs,1
tochgen,1
toecoemmende,1
toecommender,1
toefelick,1
toeffelic,1
toeffelick,1
toegeneijget,1
toehardende,1
toeneijgelicken,1
toeneijginge,1
toeneygelicheit,1
toeneygynghe,1
toerecht,1
toesprekelicke,1
toesprekelicker,1
toesprekelixs,1
tonnen,1
tonstacke,1
toppen,1
tragelick,1
treckelick,1
triebulacien,1
trieppen,1
trijppen,1
troe,1
troestelicke,1
troestelixsten,1
troesteloes,1
troestenige,1
trouwelicker,1
trouwste,1
tuijchden,1
twijdracht,1
twijdrachtich,1
twije,1
twijer,1
twijuel,1
twinget,1
tyttelick,1
ummeer,1
ummeermeer,1
ummers,1
umroer,1
urorop,1
vaenden,1
vagdent,1
valeriaenus,1
vam,1
vastel,1
vastmalck,1
veerskens,1
vegen,1
vemaem,1
vemederinge,1
vemem,1
venij,1
verachteren,1
veraenderen,1
veraendert,1
veranderinge,1
verbijndinge,1
verboergen,1
vercallen,1
vercapen,1
verciernighe,1
vercleijnden,1
vercleijnt,1
vercleynt,1
vercrech,1
vercriegen,1
verdrachgelick,1
verdrechgelic,1
verdriest,1
verdrietelich,1
verdrietelicheit,1
verdrietelicke,1
verdrieuet,1
verdrittelick,1
verdroegent,1
verdroettes,1
verdruch,1
verdruckt,1
verdulclicheit,1
verduldelicke,1
verduldelicker,1
verduldichger,1
verduldiger,1
verdwalde,1
vereniget,1
vergardert,1
vergeelt,1
vergen,1
vergenckelicke,1
vergenckelike,1
vergeseelt,1
vergesellen,1
vergesellt,1
vergijnc,1
verglijden,1
vergueden,1
verguedende,1
vergunnende,1
vergync,1
verheerende,1
verhielt,1
verhoefelen,1
verhoeffelt,1
verhoegen,1
verhouelden,1
verkieren,1
verkiertheit,1
verkleynen,1
verlaeren,1
verlanden,1
verlangelick,1
verleidinghe,1
verlenden,1
